'A-7K',
'GRUMMAN G73',
'EC135L',
'MC-130E',
'C-406 CARAVA',
'C-9C',
'T-6B',
'AT-38B',
'BA-146',
'BELL EH-1H',
'C-20B',
'C-12J',
'EC130E',
'CL-215',
'C-40C',
'MD-600N',
'E-3B',
'LEARJET-24',
'WC-135W',
'HC-130N',
'TC-135S',
'E-8C',
'HAWKER',
'UH-1H',
'F-15D',
'C-40B',
'OC-135B',
'C-32A',
'F-16A',
'F-16B',
'EC130H',
'BA-RJ85',
'T-43A',
'DC-8-63',
'E-4B',
'C-26B',
'KC-135T',
'RC-135W',
'LAKE LA4-200',
'C-37A',
'C-135E',
'MC-130H',
'C-32B',
'F-117A',
'B-1B',
'F-15B',
'A-10A',
'AEROS SA315',
'FOKKER F27',
'F-15A',
'HC-130P',
'KC-10A',
'C-5A',
'E-3C',
'U-2S',
'LC-130H',
'C-5B',
'F-15C',
'WC-130J',
'MC-130P',
'C-21A',
'RC-135V',
'T-38C',
'B-52H',
'EC130J',
'TC-135W',
'B-727',
'AERONCA 7',
'C-130E',
'KC-135E',
'T-1A',
'WC-135C',
'T-37B',
'F-16C',
'C-130H',
'C-17A',
'SIKORSKY S-61L',
'KC-135R',
'BELL HH-IH',
'AEROSTAR 600',
'E-3',
'FOKKER 70',
'ALON A2',
'AVIAT PITTS S1',
'ERCO 415',
'GLOBE GC1',
'LOCKHEED 382',
'AIRBUS',
'DC-8-61',
'CAP AVION MUDRY',
'SOCATA TB9',
'CONVAIR 340',
'URBAN AIR LAMBADA',
'G-164 AG CAT',
'HELIO COURIER 800',
'C-305',
'MD-902',
'BELL 230',
'ZODIAC CH601',
'GRUMAMER AA1',
'AGUST WESTLAND EH101',
'F-16D',
'LUSCOMBE 8',
'C-U206F',
'BELL-205A1',
'BE-23 SUNDOWNER',
'GIPPSLAND GA-8',
'MD-900',
'AT-301',
'C-175',
'MERLIN IV',
'B-747-300',
'PA-12',
'DC-9-40',
'B-707',
'RKWL CMDR112',
'DC-8',
'RYAN NAVION',
'CRJ705',
'SOCATA TB-10',
'BELLANCA',
'BE-23 MUSKETEER',
'MBB-105',
'LOCKHEED P3A',
'BELLANCA 1730',
'C-303',
'PA-30 TWIN COMANCHE',
'FLIGHT DESIGN CTSW',
'FAIRCHILD SA227',
'G-159',
'AEROS SA360',
'B-727-100',
'GRUMMAN S-2 TRACKER',
'SIKORSKY S-65C',
'AA-5',
'DHC3-OTTER',
'BE-18',
'LIBERTY XL-2',
'AEROS 355',
'DC-6',
'PA-60 601',
'BELL-212',
'SA226 TC',
'BELLANCA CIT',
'HUGHES 300',
'LEARJET UNKN',
'T-6A',
'M-28',
'BELL-427',
'BE-95',
'AIRBUS 377SGT',
'FXWG',
'PA-23 APACHE',
'C-170',
'EC155',
'MOONEY-20B/C',
'HU-25',
'RKWL SABRE60',
'B-747-1/200',
'H-60',
'Q-4',
'DHC7 DASH 7',
'RKWL AC-680',
'EUROCOPTER',
'C-27',
'PA-31T CHEYENNE II',
'PA-25 PAWNEE',
'HAWKER 600',
'RKWL CMDR114',
'WACO F',
'AG-5B',
'RKWL OV 10',
'C-401',
'BA-146-200',
'C-145',
'AERO AT-4',
'GROB',
'BELLANCA DEC',
'ENSTROM F28A',
'A-318',
'RKWL SABRLNR',
'CRJ440',
'BE-24R SIERRA',
'BE-50 TWIN BONANZA',
'DC-8-70',
'C-207 SKYWAG',
'B C-17 GLOBEMASTER',
'HUGHES 500',
'DC-9-50',
'DORNIER 228',
'C-26',
'HUGHES 369',
'C-400',
'CHAMP 8KCAB',
'C-195',
'C-404',
'AA-1',
'V-22',
'RKWL SABRLNR40',
'PIPERSPORT',
'CASA C-212',
'IAI-1123',
'MU-300',
'C-188',
'CHAMPION CITABRIA',
'PA-42',
'B-747',
'AT-400',
'DHC6',
'AVIAT HUSKY A-1',
'DHC2 BEAVER',
'SIKORSKY S-64',
'PA-J3',
'LEARJET-25',
'IAI ASTRA JT',
'BE-60 DUKE',
'BELL-222',
'BA-125-700',
'MD-87',
'CLASSIC WACO WMF',
'GRUMMAN GA7',
'HONDAJET',
'AT-802',
'PA-60 600',
'RKWL THRUSH',
'BA-41 JETSTR',
'LEARJET',
'PA-22 TP/COLT',
'AT-602',
'MOONEY-20F',
'SIKORSKY UH-60',
'CITATION VII',
'BELL-214',
'CONVAIR 640',
'C-177',
'C-120/140',
'HAWKER-SDLY HS125',
'DC-9',
'B-737-100',
'E-8',
'PA-38 TOMAHAWK',
'C-20',
'E-6',
'E-4',
'BE-T34A',
'C-21',
'MAULE M-7',
'LANCAIR COLUMBIA',
'DA-10 FALCON',
'LOCKHEED P3',
'C-180',
'FORD TRIMOTOR',
'C-162',
'A-10',
'ROBINSON R66',
'PARTENAVIA68',
'BE-76  DUCHESS',
'BE-19',
'C-500',
'RKWL SHRIKE',
'MD-520',
'SHORTS 330',
'SAAB 2000',
'AEROS SA 330 PUMA',
'C-32',
'MOONEY M20',
'LANCAIR LC 40/42',
'EMB PHENOM 100',
'HELICOPTER',
'AMD ALARUS CH2000',
'HOMEBUILT',
'C-5',
'PA-18 SUPER CUB',
'TAYLORCR-BC',
'SWEARINGIN',
'MU2',
'MOONEY-20E',
'GENERAL AVIA F-22',
'C-185 SKYWAG',
'MISC - OTHER',
'HH-60G',
'EMB-110',
'BELL-429',
'C-425',
'C-441 CONQUE',
'BE-100 KING',
'C-340',
'MD-500',
'UH-1N',
'RKWLTRBO 690',
'BA-31 JETSTR',
'F-15',
'PIAGGIO P180',
'GRUMMAN',
'B-757',
'SUKHOI SJ 100/95',
'MQ9 (UA)',
'DA FALCON 7X',
'EADS CASA HC 144',
'LEARJET-36',
'EMB-120',
'MOONEY-20K',
'PITTS',
'B-737-200',
'C-146',
'AGUSTA 109',
'PAC 750XL',
'SOCATA TB-20',
'SOCATA TBM700',
'SHORTS 360',
'SA227 AC METRO III',
'HH-65',
'DA-50 FALCON',
'T-38A',
'B-52',
'C-320',
'CESSNA LC-41',
'MILITARY',
'MERLIN III',
'BN-2A ISLAND',
'DIAMOND 20',
'MOONEY-20J',
'SA227 DC METRO 23',
'CANADAIR',
'BELL-412',
'F-15E',
'RAYTHEON 390',
'IAI-1124',
'LEARJET-55',
'BE-PREMIER I',
'B-767-400',
'C-414',
'BELLANCA CMP',
'ULTRA LIGHT',
'BRITISH AEROSPACE',
'AGUSTA A 119',
'GULFSTREAM II',
'ROCKWELL',
'NORTH AMERICAN',
'T-38',
'DA-900',
'SABRLNR-65',
'BOEING',
'BE-33',
'PA-31 NAVAJO',
'T-6',
'GULFAERO III',
'ECLIPSE 500',
'DORNIER 328J',
'CITATION EXL',
'KC-10',
'IAI GALAXY',
'BE-35',
'C-37',
'ROBINSON R22',
'PA-31T CHEYENNE',
'GRUMAMER AA5',
'DC-9-10',
'EC120',
'C-40',
'PA-34 SENECA',
'C-12',
'T-1',
'SIKORSKY S-76',
'B-737-600',
'C-210 CENTUR',
'C-310',
'C-152',
'C-650',
'DIAMOND 40',
'EUROCOPTER BK 117',
'C-206 STATIO',
'STINSON 108',
'PA-46 MALIBU',
'F-16',
'LOCKHEED C-130',
'LEARJET-31',
'GULFSTREAM GV1',
'C-130J',
'C-337',
'B-767',
'PITTS S-2',
'B-747-8 SERIES',
'C-17',
'PA-23-250',
'BE-90  KING',
'BE-1900',
'EMBRAER',
'HC-130',
'BA-125-800',
'C-421',
'PIPER',
'SABRLNR-80A',
'CITATION X',
'GULFSTREAM',
'GULFSTREAM G 280',
'CITATION',
'C-135',
'HAWKER 1000',
'EMB PHENOM 300',
'CITATION II',
'DASSAULT',
'B-787-8',
'DC-9-30',
'EXTRA 300',
'GLOBAL EXPRS',
'CESSNA',
'ATR-72',
'HAWKER 800',
'DORNIER 328',
'C-130',
'BE-300 KING',
'AGUSTA AW 139',
'U-28',
'PA-24 COMANCHE',
'LOCKHEED P3B',
'DC-10',
'AEROS SA365',
'SIKORSKY S-92',
'HAWKER 900',
'C-150',
'PA-32',
'BELL-407',
'BE-58  BARON',
'A-330',
'ROBINSON R44',
'A-380',
'BEECHCRAFT',
'DA-200 FALCON',
'DA-20 FALCON',
'DIAMOND 42',
'T-38N',
'LEARJET-60',
'BE-99',
'LEARJET-35',
'GULFSTREAM V',
'B-777-300',
'PILATUS PC12',
'DC-3',
'LIGHT-SPORT',
'CL-601/604',
'GULFAERO IV',
'CHAMPION 7GC',
'B-727-200',
'PA-31-350',
'A-340',
'PA-44 SEMINOLE',
'HAWKER 4000',
'B-747-400',
'C-560',
'C-680',
'MD-80',
'C-208',
'GULFSTREAM 200',
'CL-600',
'CITATION MUSTANG 510',
'MD-88',
'C-182 SKYLAN',
'BE-55  BARON',
'EMB-190',
'MD-90-30',
'LEARJET-45',
'GULFSTREAM G150',
'BELL-430',
'EMB-500',
'B-777-200',
'C-402',
'CHALLENGER 300',
'PA-28',
'SAAB-340',
'HUGHES 269A',
'BE-65 QUEEN',
'DA-2000',
'B-767-300',
'B-737-400',
'C-550',
'BE-200 KING',
'EC135',
'B-737-300',
'CRJ700',
'CIRRUS SR 20/22',
'BE-36',
'B-757-300',
'B-787-9',
'C-172',
'B-737-900',
'B-767-200',
'MD-82',
'CASA CN-235',
'A-321',
'B-737-500',
'BELL-206',
'EMB-170',
'EXPERIMENTAL',
'ATR-42',
'AEROS 350',
'B-737',
'BE-400 BJET',
'MD-11',
'DC-10-30',
'B-717-200',
'A-319',
'A-320',
'B-737-800',
'UNKNOWN',
'B-757-200',
'CRJ900',
'B-777',
'A-310',
'A-300',
'MD-83',
'EC130',
'EMB-145',
'EMB-135',
'DC-10-10',
'B-737-700',
'CITATIONJET',
'DHC8 DASH 8',
'CRJ100/200'
